Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
1,99009,Graham County,9,4,2010,37220.0,26827.0,683.0,11320.0,2139.0,14392.0,1898.0,12435.0,105.0,569.0,21.0,114.0,6450.0,1098.0,860.0,4870.0,0.1486242356864925,0.1526336952151186
1,99011,Greenlee County,11,4,2010,8437.0,6514.0,89.0,4040.0,427.0,3410.0,371.0,3104.0,11.0,51.0,7.0,38.0,2053.0,329.0,280.0,1987.0,0.1252199413489736,0.11952319587628867
1,99012,La Paz County,12,4,2010,20489.0,14306.0,129.0,4806.0,463.0,7451.0,388.0,6855.0,8.0,71.0,4.0,58.0,2565.0,437.0,342.0,2241.0,0.06213931015971011,0.05660102115244347
1,99013,Maricopa County,13,4,2010,3817117.0,2786781.0,190519.0,1128741.0,183579.0,1372983.0,172612.0,1413798.0,17824.0,96915.0,15809.0,93604.0,568138.0,105959.0,100488.0,560603.0,0.13370813768269527,0.12209099178241871
1,99015,Mohave County,15,4,2010,200186.0,173878.0,1882.0,29569.0,8523.0,87002.0,8238.0,86876.0,139.0,1140.0,113.0,742.0,15017.0,2526.0,2358.0,14552.0,0.09796326521229397,0.09482480777199687
1,99017,Navajo County,17,4,2010,107449.0,52972.0,938.0,11571.0,3150.0,27135.0,2797.0,25837.0,89.0,620.0,60.0,318.0,6239.0,1123.0,893.0,5332.0,0.11608623548922056,0.10825560243062275
1,99019,Pima County,19,4,2010,980263.0,728751.0,34674.0,338802.0,50168.0,356565.0,48466.0,372186.0,3367.0,18940.0,2838.0,15734.0,165575.0,30901.0,30447.0,173227.0,0.14069804944400038,0.13021983631839995
1,99021,Pinal County,21,4,2010,375770.0,272013.0,17215.0,106977.0,13944.0,139401.0,12464.0,132612.0,1636.0,9875.0,1074.0,7340.0,57757.0,9782.0,7674.0,49220.0,0.1000279768437816,0.09398847766416313
1,99023,Santa Cruz County,23,4,2010,47420.0,34835.0,179.0,39273.0,2359.0,16589.0,2265.0,18246.0,16.0,97.0,10.0,82.0,18439.0,3161.0,3104.0,20834.0,0.1422026644161794,0.12413679710621506
1,99025,Yavapai County,25,4,2010,211033.0,188515.0,1267.0,28728.0,9684.0,92047.0,8527.0,96468.0,122.0,750.0,91.0,517.0,14638.0,2517.0,2319.0,14090.0,0.10520712244831444,0.08839200563917568
